loss,mae,val_loss,val_mae,experimento,dense_config,optimizer,epoch
0.10102040320634842,0.2385745495557785,0.005294710863381624,0.05701662227511406,32_relu_sgd,32_relu,SGD,1
0.004963845480233431,0.049079641699790955,0.004761477001011372,0.05211735516786575,32_relu_sgd,32_relu,SGD,2
0.004733857233077288,0.047035157680511475,0.004538074601441622,0.05038531869649887,32_relu_sgd,32_relu,SGD,3
0.004552870523184538,0.045482926070690155,0.004358857404440641,0.04896111041307449,32_relu_sgd,32_relu,SGD,4
0.004420160781592131,0.04427613317966461,0.004226855933666229,0.047893863171339035,32_relu_sgd,32_relu,SGD,5
0.0043186042457818985,0.04331466183066368,0.004120286088436842,0.04697979986667633,32_relu_sgd,32_relu,SGD,6
0.004236756358295679,0.042500779032707214,0.00403181416913867,0.046206630766391754,32_relu_sgd,32_relu,SGD,7
0.004169228952378035,0.0418086014688015,0.003956958651542664,0.045530498027801514,32_relu_sgd,32_relu,SGD,8
0.004112784285098314,0.04121436923742294,0.0038934170734137297,0.044934894889593124,32_relu_sgd,32_relu,SGD,9
0.004065598361194134,0.040699541568756104,0.003839512588456273,0.04442625865340233,32_relu_sgd,32_relu,SGD,10
0.004025856498628855,0.04025343060493469,0.0037936335429549217,0.043982770293951035,32_relu_sgd,32_relu,SGD,11
0.003991706762462854,0.03987204283475876,0.0037529056426137686,0.043595362454652786,32_relu_sgd,32_relu,SGD,12
0.003960428759455681,0.03952990099787712,0.003714462509378791,0.043217018246650696,32_relu_sgd,32_relu,SGD,13
0.003929547965526581,0.039195649325847626,0.003678268985822797,0.04284380376338959,32_relu_sgd,32_relu,SGD,14
0.0039012297056615353,0.03886516019701958,0.0036447381135076284,0.04251446947455406,32_relu_sgd,32_relu,SGD,15
0.003880460746586323,0.03861530125141144,0.0036185188218951225,0.04226665571331978,32_relu_sgd,32_relu,SGD,16
0.0038645253516733646,0.038420844823122025,0.003596780588850379,0.04205313324928284,32_relu_sgd,32_relu,SGD,17
0.003851301269605756,0.03826393932104111,0.00357801653444767,0.041854046285152435,32_relu_sgd,32_relu,SGD,18
0.003840396413579583,0.038136232644319534,0.0035627789329737425,0.04168352484703064,32_relu_sgd,32_relu,SGD,19
0.0038311511743813753,0.03803050145506859,0.003549537155777216,0.04153802618384361,32_relu_sgd,32_relu,SGD,20
0.0038230230566114187,0.03793634846806526,0.0035395841114223003,0.04142741858959198,32_relu_sgd,32_relu,SGD,21
0.0038161505945026875,0.03785928711295128,0.0035310452803969383,0.04133313149213791,32_relu_sgd,32_relu,SGD,22
0.003810274414718151,0.037795718759298325,0.0035226556938141584,0.04124928265810013,32_relu_sgd,32_relu,SGD,23
0.0038059051148593426,0.03774683177471161,0.0035152779892086983,0.041175685822963715,32_relu_sgd,32_relu,SGD,24
0.0038023467641323805,0.037711527198553085,0.0035093503538519144,0.04112005606293678,32_relu_sgd,32_relu,SGD,25
0.00379941170103848,0.03768399730324745,0.0035041847731918097,0.04107697308063507,32_relu_sgd,32_relu,SGD,26
0.0037968289107084274,0.0376616045832634,0.003499771701171994,0.04104142263531685,32_relu_sgd,32_relu,SGD,27
0.0037944186478853226,0.03764277696609497,0.0034957281313836575,0.041010525077581406,32_relu_sgd,32_relu,SGD,28
0.0037922507617622614,0.03762653097510338,0.003492167452350259,0.04098276048898697,32_relu_sgd,32_relu,SGD,29
0.0037902449257671833,0.03761317953467369,0.0034889797680079937,0.04095811769366264,32_relu_sgd,32_relu,SGD,30
0.042824145406484604,0.14722758531570435,0.008512442000210285,0.07399920374155045,32_relu_rmsprop,32_relu,RMSprop,1
0.0096437968313694,0.07304269075393677,0.00584364403039217,0.05981770157814026,32_relu_rmsprop,32_relu,RMSprop,2
0.007772842887789011,0.06495437026023865,0.005019241478294134,0.05418713390827179,32_relu_rmsprop,32_relu,RMSprop,3
0.006574252154678106,0.058951497077941895,0.004654774442315102,0.0514214001595974,32_relu_rmsprop,32_relu,RMSprop,4
0.005805228836834431,0.05475184693932533,0.0043000346049666405,0.048709284514188766,32_relu_rmsprop,32_relu,RMSprop,5
0.005150842946022749,0.05080536752939224,0.00413705687969923,0.04750589281320572,32_relu_rmsprop,32_relu,RMSprop,6
0.004742233548313379,0.04803978279232979,0.004004110116511583,0.04643186554312706,32_relu_rmsprop,32_relu,RMSprop,7
0.004468424711376429,0.045995861291885376,0.0038522796239703894,0.04503117874264717,32_relu_rmsprop,32_relu,RMSprop,8
0.004241498187184334,0.04438118636608124,0.0037608470302075148,0.04411398991942406,32_relu_rmsprop,32_relu,RMSprop,9
0.004072340205311775,0.043065037578344345,0.0036734524182975292,0.0433233305811882,32_relu_rmsprop,32_relu,RMSprop,10
0.0039478931576013565,0.04209168627858162,0.0036281372886151075,0.04289852827787399,32_relu_rmsprop,32_relu,RMSprop,11
0.003852380206808448,0.0413164384663105,0.003598722629249096,0.042602889239788055,32_relu_rmsprop,32_relu,RMSprop,12
0.0037776478566229343,0.04070880264043808,0.0035747243091464043,0.042343515902757645,32_relu_rmsprop,32_relu,RMSprop,13
0.0037203081883490086,0.04022318869829178,0.0035472684539854527,0.04202069342136383,32_relu_rmsprop,32_relu,RMSprop,14
0.003671136684715748,0.03980756551027298,0.003532051807269454,0.04182841256260872,32_relu_rmsprop,32_relu,RMSprop,15
0.003630714025348425,0.03946883976459503,0.0035187616012990475,0.04165533185005188,32_relu_rmsprop,32_relu,RMSprop,16
0.0035954853519797325,0.0391874723136425,0.0035104553680866957,0.04151199385523796,32_relu_rmsprop,32_relu,RMSprop,17
0.0035613877698779106,0.03895605728030205,0.0035052320454269648,0.041386354714632034,32_relu_rmsprop,32_relu,RMSprop,18
0.0035282995086163282,0.0387534573674202,0.003503905376419425,0.04128868505358696,32_relu_rmsprop,32_relu,RMSprop,19
0.0035008443519473076,0.0385858453810215,0.0035027763806283474,0.04120071604847908,32_relu_rmsprop,32_relu,RMSprop,20
0.003477936377748847,0.0384516604244709,0.0035078944638371468,0.04116041958332062,32_relu_rmsprop,32_relu,RMSprop,21
0.003456352511420846,0.038318533450365067,0.003500149818137288,0.04105815663933754,32_relu_rmsprop,32_relu,RMSprop,22
0.003433504607528448,0.03820299729704857,0.003516050521284342,0.041059188544750214,32_relu_rmsprop,32_relu,RMSprop,23
0.0034157391637563705,0.038113027811050415,0.003522393759340048,0.04103096202015877,32_relu_rmsprop,32_relu,RMSprop,24
0.0034016133286058903,0.03804048150777817,0.0035186470486223698,0.04098183661699295,32_relu_rmsprop,32_relu,RMSprop,25
0.003385791089385748,0.03796149045228958,0.0035237453412264585,0.04095928370952606,32_relu_rmsprop,32_relu,RMSprop,26
0.0033711963333189487,0.03788023814558983,0.0035233190283179283,0.04092102125287056,32_relu_rmsprop,32_relu,RMSprop,27
0.003359387395903468,0.03782462328672409,0.0035454111639410257,0.04111345857381821,32_relu_rmsprop,32_relu,RMSprop,28
0.00335062388330698,0.03779095411300659,0.0035231010988354683,0.04084913060069084,32_relu_rmsprop,32_relu,RMSprop,29
0.003339828224852681,0.037737127393484116,0.0035256599076092243,0.04082709178328514,32_relu_rmsprop,32_relu,RMSprop,30
0.04936498776078224,0.1428583562374115,0.005029646214097738,0.05424884334206581,32_relu_adam,32_relu,Adam,1
0.004704299382865429,0.04754503816366196,0.004099531564861536,0.04692326486110687,32_relu_adam,32_relu,Adam,2
0.0036114687100052834,0.04037219285964966,0.0037409961223602295,0.043793585151433945,32_relu_adam,32_relu,Adam,3
0.002938364865258336,0.03532962501049042,0.003615838009864092,0.042691670358181,32_relu_adam,32_relu,Adam,4
0.0024137466680258512,0.031047092750668526,0.0035617761313915253,0.04208990931510925,32_relu_adam,32_relu,Adam,5
0.002002605702728033,0.02753719501197338,0.003559634555131197,0.041906099766492844,32_relu_adam,32_relu,Adam,6
0.001655197236686945,0.02438039518892765,0.0036090172361582518,0.04233448952436447,32_relu_adam,32_relu,Adam,7
0.0013661099364981055,0.021585317328572273,0.003671486396342516,0.043056879192590714,32_relu_adam,32_relu,Adam,8
0.0011138912523165345,0.018980925902724266,0.0037438380531966686,0.04393583908677101,32_relu_adam,32_relu,Adam,9
0.0009102601325139403,0.016824163496494293,0.0038592033088207245,0.04474656656384468,32_relu_adam,32_relu,Adam,10
0.0007441577618010342,0.01504232082515955,0.003966102842241526,0.04549247771501541,32_relu_adam,32_relu,Adam,11
0.000611759489402175,0.013620160520076752,0.004116453230381012,0.046699684113264084,32_relu_adam,32_relu,Adam,12
0.0005105175659991801,0.01273147389292717,0.004276208113878965,0.04765867814421654,32_relu_adam,32_relu,Adam,13
0.00045367720304057,0.012484372593462467,0.004718477837741375,0.051123831421136856,32_relu_adam,32_relu,Adam,14
0.0006369074108079076,0.017034178599715233,0.005692870821803808,0.05713767558336258,32_relu_adam,32_relu,Adam,15
0.0035110206808894873,0.04210946336388588,0.004441456403583288,0.050108976662158966,32_relu_adam,32_relu,Adam,16
0.00347015168517828,0.04493417590856552,0.003956945147365332,0.04614533483982086,32_relu_adam,32_relu,Adam,17
0.0021398579701781273,0.03467237576842308,0.006394042167812586,0.06328905373811722,32_relu_adam,32_relu,Adam,18
0.0022102713119238615,0.03397080674767494,0.011366060934960842,0.0922669917345047,32_relu_adam,32_relu,Adam,19
0.003069539088755846,0.041674673557281494,0.004509582184255123,0.04971805959939957,32_relu_adam,32_relu,Adam,20
0.0026703940238803625,0.03885755315423012,0.011038592085242271,0.08865424245595932,32_relu_adam,32_relu,Adam,21
0.0021889316849410534,0.03686867281794548,0.006984747480601072,0.06713132560253143,32_relu_adam,32_relu,Adam,22
0.0018566956277936697,0.0339856892824173,0.004744234029203653,0.052035488188266754,32_relu_adam,32_relu,Adam,23
0.0015904934844002128,0.030682947486639023,0.004193318076431751,0.04783577471971512,32_relu_adam,32_relu,Adam,24
0.0012594875879585743,0.02616242691874504,0.004105325322598219,0.047242362052202225,32_relu_adam,32_relu,Adam,25
0.0009792703203856945,0.022722158581018448,0.004438979551196098,0.05042564868927002,32_relu_adam,32_relu,Adam,26
0.0009397186222486198,0.02210584282875061,0.005103987641632557,0.05554741993546486,32_relu_adam,32_relu,Adam,27
0.0010839604074135423,0.024114694446325302,0.005492137745022774,0.05811114236712456,32_relu_adam,32_relu,Adam,28
0.0015511687379330397,0.029989315196871758,0.00752602843567729,0.07085005193948746,32_relu_adam,32_relu,Adam,29
0.0023737361188977957,0.03738029673695564,0.011180312372744083,0.08999868482351303,32_relu_adam,32_relu,Adam,30
0.09479460120201111,0.22734187543392181,0.005205952096730471,0.05627885088324547,64_relu_sgd,64_relu,SGD,1
0.004900343716144562,0.048654209822416306,0.0046980720944702625,0.0516645647585392,64_relu_sgd,64_relu,SGD,2
0.004649799317121506,0.04638845846056938,0.004427309613674879,0.049500979483127594,64_relu_sgd,64_relu,SGD,3
0.004422170575708151,0.044341571629047394,0.004196701105684042,0.04759293422102928,64_relu_sgd,64_relu,SGD,4
0.004253389313817024,0.042672716081142426,0.004024482797831297,0.04605128988623619,64_relu_sgd,64_relu,SGD,5
0.00413476349785924,0.04142925515770912,0.003914347849786282,0.04505990073084831,64_relu_sgd,64_relu,SGD,6
0.00406591547653079,0.04069299250841141,0.003843572922050953,0.044435858726501465,64_relu_sgd,64_relu,SGD,7
0.0040193903259932995,0.04018191248178482,0.00379181862808764,0.04395831748843193,64_relu_sgd,64_relu,SGD,8
0.003983698785305023,0.03976685553789139,0.003749748459085822,0.043543003499507904,64_relu_sgd,64_relu,SGD,9
0.003953840117901564,0.03941269591450691,0.0037153770681470633,0.04319671541452408,64_relu_sgd,64_relu,SGD,10
0.003930241800844669,0.03912661597132683,0.003687559626996517,0.04292213171720505,64_relu_sgd,64_relu,SGD,11
0.003911653067916632,0.038893941789865494,0.0036645883228629827,0.04270321503281593,64_relu_sgd,64_relu,SGD,12
0.0038969276938587427,0.03870797157287598,0.003645567689090967,0.04252303019165993,64_relu_sgd,64_relu,SGD,13
0.003885113401338458,0.038557134568691254,0.0036295007448643446,0.042368631809949875,64_relu_sgd,64_relu,SGD,14
0.003875408321619034,0.03842867165803909,0.0036155607085675,0.04223551228642464,64_relu_sgd,64_relu,SGD,15
0.0038670706562697887,0.03831745311617851,0.003603194607421756,0.042111944407224655,64_relu_sgd,64_relu,SGD,16
0.0038597923703491688,0.03821965679526329,0.003592247376218438,0.04200005903840065,64_relu_sgd,64_relu,SGD,17
0.0038534952327609062,0.03813568875193596,0.003582271747291088,0.04189783334732056,64_relu_sgd,64_relu,SGD,18
0.0038479079958051443,0.038062918931245804,0.003572966903448105,0.04180048778653145,64_relu_sgd,64_relu,SGD,19
0.0038424090016633272,0.037995677441358566,0.003563877660781145,0.04171019420027733,64_relu_sgd,64_relu,SGD,20
0.003837459022179246,0.03793630003929138,0.0035557220689952374,0.041632018983364105,64_relu_sgd,64_relu,SGD,21
0.003833150491118431,0.03788305073976517,0.0035489173606038094,0.04156442731618881,64_relu_sgd,64_relu,SGD,22
0.0038294207770377398,0.037838783115148544,0.003542837919667363,0.041506845504045486,64_relu_sgd,64_relu,SGD,23
0.0038260931614786386,0.03779919072985649,0.003537100041285157,0.04145066812634468,64_relu_sgd,64_relu,SGD,24
0.0038230731151998043,0.03776473179459572,0.003531720722094178,0.04139463230967522,64_relu_sgd,64_relu,SGD,25
0.003820504294708371,0.03773669898509979,0.0035274785477668047,0.04134971275925636,64_relu_sgd,64_relu,SGD,26
0.003818385535851121,0.0377139113843441,0.00352394743822515,0.04131448268890381,64_relu_sgd,64_relu,SGD,27
0.003816324984654784,0.037693049758672714,0.003520733444020152,0.04128275066614151,64_relu_sgd,64_relu,SGD,28
0.003814431605860591,0.03767405077815056,0.0035176891833543777,0.04125310480594635,64_relu_sgd,64_relu,SGD,29
0.003812687937170267,0.03765689954161644,0.0035151606425642967,0.04122767969965935,64_relu_sgd,64_relu,SGD,30
0.044402267783880234,0.15167303383350372,0.009367566555738449,0.07835184037685394,64_relu_rmsprop,64_relu,RMSprop,1
0.009517800062894821,0.07213082909584045,0.006804301869124174,0.06496279686689377,64_relu_rmsprop,64_relu,RMSprop,2
0.006939771119505167,0.06038810312747955,0.00438049528747797,0.049484215676784515,64_relu_rmsprop,64_relu,RMSprop,3
0.005512699950486422,0.05261025205254555,0.004035104997456074,0.04658449813723564,64_relu_rmsprop,64_relu,RMSprop,4
0.0048112752847373486,0.0482015535235405,0.0038359633181244135,0.04481438547372818,64_relu_rmsprop,64_relu,RMSprop,5
0.004387164022773504,0.045265622437000275,0.0037191761657595634,0.043641332536935806,64_relu_rmsprop,64_relu,RMSprop,6
0.004128596745431423,0.04336685687303543,0.0036302160006016493,0.042729925364255905,64_relu_rmsprop,64_relu,RMSprop,7
0.0039603798650205135,0.04206487908959389,0.0035925889387726784,0.04235610365867615,64_relu_rmsprop,64_relu,RMSprop,8
0.0038499224465340376,0.0411875918507576,0.0035717415157705545,0.0420866385102272,64_relu_rmsprop,64_relu,RMSprop,9
0.003768916241824627,0.040562715381383896,0.003552688518539071,0.041849274188280106,64_relu_rmsprop,64_relu,RMSprop,10
0.003710478777065873,0.04011811316013336,0.003546263789758086,0.041746027767658234,64_relu_rmsprop,64_relu,RMSprop,11
0.003661154303699732,0.039758410304784775,0.0035265046171844006,0.04144668206572533,64_relu_rmsprop,64_relu,RMSprop,12
0.003622850403189659,0.039484187960624695,0.0035178931429982185,0.04128527268767357,64_relu_rmsprop,64_relu,RMSprop,13
0.003590845735743642,0.03927566483616829,0.003516680561006069,0.041210465133190155,64_relu_rmsprop,64_relu,RMSprop,14
0.003562172641977668,0.03911328315734863,0.0035166344605386257,0.04111640155315399,64_relu_rmsprop,64_relu,RMSprop,15
0.0035371289122849703,0.03897526487708092,0.0035118849482387304,0.04098857194185257,64_relu_rmsprop,64_relu,RMSprop,16
0.003517701756209135,0.03885580226778984,0.0035202004946768284,0.04100450500845909,64_relu_rmsprop,64_relu,RMSprop,17
0.0034980513155460358,0.0387556217610836,0.0035201730206608772,0.040925148874521255,64_relu_rmsprop,64_relu,RMSprop,18
0.00347873754799366,0.038592856377363205,0.0035274147521704435,0.04096725583076477,64_relu_rmsprop,64_relu,RMSprop,19
0.003462778404355049,0.0385223813354969,0.0035351994447410107,0.04093778505921364,64_relu_rmsprop,64_relu,RMSprop,20
0.0034458094742149115,0.03842998296022415,0.003540914738550782,0.040907055139541626,64_relu_rmsprop,64_relu,RMSprop,21
0.0034315369557589293,0.03837141394615173,0.0035514170303940773,0.040986835956573486,64_relu_rmsprop,64_relu,RMSprop,22
0.0034187331330031157,0.038314249366521835,0.0035617572721093893,0.04103727266192436,64_relu_rmsprop,64_relu,RMSprop,23
0.003406684147194028,0.03826114162802696,0.003557684598490596,0.0409514345228672,64_relu_rmsprop,64_relu,RMSprop,24
0.0033959634602069855,0.038206249475479126,0.0035616860259324312,0.04093124344944954,64_relu_rmsprop,64_relu,RMSprop,25
0.003385295392945409,0.03815336152911186,0.0035650862846523523,0.04092404991388321,64_relu_rmsprop,64_relu,RMSprop,26
0.0033764373511075974,0.03810134157538414,0.003568833926692605,0.04093078151345253,64_relu_rmsprop,64_relu,RMSprop,27
0.003367965342476964,0.038063403218984604,0.003574409754946828,0.040943361818790436,64_relu_rmsprop,64_relu,RMSprop,28
0.0033591855317354202,0.038015998899936676,0.0035813944414258003,0.04103909060359001,64_relu_rmsprop,64_relu,RMSprop,29
0.0033527568448334932,0.03799121454358101,0.0035870217252522707,0.04101848602294922,64_relu_rmsprop,64_relu,RMSprop,30
0.053080495446920395,0.15689422190189362,0.005642453674226999,0.05773855373263359,64_relu_adam,64_relu,Adam,1
0.005225983913987875,0.05035099759697914,0.004331747069954872,0.049001242965459824,64_relu_adam,64_relu,Adam,2
0.003968699369579554,0.043063003569841385,0.003960681613534689,0.045361440628767014,64_relu_adam,64_relu,Adam,3
0.0032853870652616024,0.038351871073246,0.0037069329991936684,0.04299529269337654,64_relu_adam,64_relu,Adam,4
0.0027342806570231915,0.034039054065942764,0.0036066470202058554,0.04217812046408653,64_relu_adam,64_relu,Adam,5
0.0022683334536850452,0.030213285237550735,0.0035867688711732626,0.04184138774871826,64_relu_adam,64_relu,Adam,6
0.0018750105518847704,0.026911931112408638,0.0036252052523195744,0.04220880568027496,64_relu_adam,64_relu,Adam,7
0.0015407210448756814,0.023878222331404686,0.0037010563537478447,0.043048907071352005,64_relu_adam,64_relu,Adam,8
0.0012496240669861436,0.021127689629793167,0.0038066755514591932,0.043990347534418106,64_relu_adam,64_relu,Adam,9
0.0010016803862527013,0.018508493900299072,0.003920734394341707,0.044873129576444626,64_relu_adam,64_relu,Adam,10
0.0008037773077376187,0.016670284792780876,0.0040912386029958725,0.04585519805550575,64_relu_adam,64_relu,Adam,11
0.0007228764006868005,0.016726884990930557,0.005184027832001448,0.053915392607450485,64_relu_adam,64_relu,Adam,12
0.0009758536471053958,0.021077120676636696,0.005686725489795208,0.057945720851421356,64_relu_adam,64_relu,Adam,13
0.0015637692995369434,0.027733860537409782,0.004409719258546829,0.048456255346536636,64_relu_adam,64_relu,Adam,14
0.0021181562915444374,0.033794887363910675,0.004080289043486118,0.04553326219320297,64_relu_adam,64_relu,Adam,15
0.003937988076359034,0.04601418972015381,0.00413484126329422,0.046923961490392685,64_relu_adam,64_relu,Adam,16
0.0015182631323114038,0.02733573503792286,0.0039011002518236637,0.0446142852306366,64_relu_adam,64_relu,Adam,17
0.0011461526155471802,0.023179270327091217,0.003925841301679611,0.0447964183986187,64_relu_adam,64_relu,Adam,18
0.0008832471794448793,0.02015378698706627,0.0041009727865457535,0.04594006761908531,64_relu_adam,64_relu,Adam,19
0.0006315946229733527,0.017133023589849472,0.0042585949413478374,0.04714225232601166,64_relu_adam,64_relu,Adam,20
0.0007454427541233599,0.01887449622154236,0.004269154742360115,0.047409914433956146,64_relu_adam,64_relu,Adam,21
0.0009016469703055918,0.02144588902592659,0.004186066798865795,0.04683806374669075,64_relu_adam,64_relu,Adam,22
0.0016503240913152695,0.03068864345550537,0.00507310638204217,0.054003216326236725,64_relu_adam,64_relu,Adam,23
0.004784662276506424,0.052698686718940735,0.008758693933486938,0.07768450677394867,64_relu_adam,64_relu,Adam,24
0.002528000855818391,0.03816716745495796,0.003915776498615742,0.045895256102085114,64_relu_adam,64_relu,Adam,25
0.0016729639610275626,0.029855484142899513,0.004037865437567234,0.046777572482824326,64_relu_adam,64_relu,Adam,26
0.0013148565776646137,0.026159800589084625,0.0044519659131765366,0.050274189561605453,64_relu_adam,64_relu,Adam,27
0.0010994803160429,0.024482708424329758,0.00474398210644722,0.05275847390294075,64_relu_adam,64_relu,Adam,28
0.0011558460537344217,0.024957353249192238,0.004794739186763763,0.05297774076461792,64_relu_adam,64_relu,Adam,29
0.0011972367065027356,0.02547592483460903,0.0049747261218726635,0.05419447273015976,64_relu_adam,64_relu,Adam,30
0.06309585273265839,0.162761852145195,0.0048389439471066,0.052719999104738235,64_32_relu_sgd,64_32_relu,SGD,1
0.004741405136883259,0.047339923679828644,0.004570525139570236,0.050643693655729294,64_32_relu_sgd,64_32_relu,SGD,2
0.0045319488272070885,0.04557250440120697,0.004357462283223867,0.04893358051776886,64_32_relu_sgd,64_32_relu,SGD,3
0.004374540410935879,0.04416439309716225,0.004200526047497988,0.04762577638030052,64_32_relu_sgd,64_32_relu,SGD,4
0.004257728811353445,0.04303833469748497,0.0040796417742967606,0.04657432436943054,64_32_relu_sgd,64_32_relu,SGD,5
